,Year,Quarter,LGA,Total number of presumptives,Total examined with Xpert,Total examined with Truenat,Total examined with AFB,Total examined with TB LAMP,Total examined with LF-LAM and others,Screened with X-ray,Truenat positive,Smear positive,TB LAMP positive,LF LAM positive,Chest X-ray suggestive,Other Clinical Diagnosis,Total diagnosed,Rifampicin resistant,HIV positive,HIV unknown,Presumptives that are HCWs,YEAR QUARTER
0,2019,1,Birnin-Gwari,58,993,0,24,0,0,283,0,0,0,0,6,0,25,0,2,0,0,2019 Q1
1,2019,1,Chikun,346,673,0,194,0,0,253,0,16,0,0,25,0,66,0,99,25,0,2019 Q1
2,2019,1,Giwa,201,1045,0,793,0,0,394,0,34,0,0,0,46,38,1,16,0,0,2019 Q1
3,2019,1,Igabi,261,470,0,745,0,0,247,0,68,0,0,32,0,70,3,10,0,0,2019 Q1
4,2019,1,Ikara,209,2717,152,618,0,27,33,0,76,0,0,0,23,13,0,5,0,0,2019 Q1
5,2019,1,Jaba,142,1652,0,336,0,0,40,0,46,0,0,0,10,20,0,1,0,0,2019 Q1
6,2019,1,Jema'a,336,2902,0,212,30,0,269,0,35,5,0,14,30,71,1,64,8,0,2019 Q1
7,2019,1,Kachia,266,3794,0,87,10,0,97,0,18,2,0,3,28,43,0,2,0,0,2019 Q1
8,2019,1,Kaduna North,943,5318,0,0,0,0,10,0,0,0,0,28,0,101,4,99,0,0,2019 Q1
9,2019,1,Kaduna South,671,3241,0,0,0,0,27,0,0,0,0,31,0,159,1,147,1,0,2019 Q1
10,2019,1,Kagarko,106,4971,0,56,3,0,37,0,77,3,0,41,3,18,0,3,0,0,2019 Q1
11,2019,1,Kajuru,60,5521,0,237,2,0,20,0,299,2,0,24,0,10,0,0,0,0,2019 Q1
12,2019,1,Kaura,151,1510,55,0,0,0,20,12,0,0,0,24,0,26,1,7,0,0,2019 Q1
13,2019,1,Kauru,60,1671,71,0,0,0,24,7,0,0,0,24,1,11,0,0,0,0,2019 Q1
14,2019,1,Kubau,196,2702,203,2,0,0,47,11,2,0,0,16,0,15,0,4,0,0,2019 Q1
15,2019,1,Kudan,160,2257,314,249,0,0,179,9,52,0,0,54,0,13,0,1,0,0,2019 Q1
16,2019,1,Lere,476,590,18,200,0,0,10,0,1,0,0,13,0,30,1,1,0,0,2019 Q1
17,2019,1,Markafi,196,458,0,284,0,0,9,0,0,0,0,9,0,24,0,3,0,0,2019 Q1
18,2019,1,Sabon-Gari,169,1272,0,371,0,0,7,0,3,0,0,7,0,34,0,0,0,169,2019 Q1
19,2019,1,Sanga,252,671,0,404,0,0,23,0,1,0,0,29,19,30,0,46,0,0,2019 Q1
20,2019,1,Soba,34,481,0,20,0,0,20,0,3,0,0,11,0,12,0,2,0,0,2019 Q1
21,2019,1,Zango-Kataf,114,324,0,40,0,0,23,0,6,0,0,0,6,18,1,3,0,0,2019 Q1
22,2019,1,Zaria,266,722,0,30,0,0,10,0,4,0,0,3,0,93,1,19,0,0,2019 Q1
23,2019,2,Birnin-Gwari,30,622,0,17,0,0,8,0,18,0,0,8,0,18,0,0,0,0,2019 Q2
24,2019,2,Chikun,403,1652,0,76,0,0,39,0,13,0,0,29,0,65,0,77,22,1,2019 Q2
25,2019,2,Giwa,135,1312,0,259,6,0,63,0,26,6,0,0,22,49,0,11,11,0,2019 Q2
26,2019,2,Igabi,215,2387,0,635,230,0,257,0,63,25,0,30,13,40,2,5,0,0,2019 Q2
27,2019,2,Ikara,195,3637,0,532,0,0,219,0,192,2,0,77,0,20,0,4,0,0,2019 Q2
28,2019,2,Jaba,110,4215,0,0,0,0,27,0,0,0,0,15,0,22,0,5,0,0,2019 Q2
29,2019,2,Jema'a,292,1341,0,1056,0,0,119,0,147,0,0,0,23,47,2,35,110,0,2019 Q2
30,2019,2,Kachia,175,1587,0,2540,0,0,169,0,240,0,0,8,26,44,0,4,0,0,2019 Q2
31,2019,2,Kaduna North,1111,1829,0,2556,0,0,167,0,247,0,0,0,33,176,1,27,369,0,2019 Q2
32,2019,2,Kaduna South,913,6284,0,51,46,0,485,0,14,5,0,109,13,227,0,162,149,0,2019 Q2
33,2019,2,Kagarko,66,7361,0,0,0,0,173,0,0,3,0,83,0,23,0,1,0,0,2019 Q2
34,2019,2,Kajuru,52,6490,0,0,1,0,164,0,0,0,0,198,0,10,0,1,0,0,2019 Q2
35,2019,2,Kaura,112,8935,0,235,15,0,428,0,182,5,0,264,0,13,0,3,0,0,2019 Q2
36,2019,2,Kauru,30,4073,0,119,139,0,388,0,0,32,0,104,0,13,1,0,0,0,2019 Q2
37,2019,2,Kubau,153,2140,0,0,31,0,684,0,0,4,0,111,0,19,0,2,0,0,2019 Q2
38,2019,2,Kudan,140,4061,0,1,65,0,502,0,0,25,0,97,0,11,0,0,0,0,2019 Q2
39,2019,2,Lere,303,5357,0,0,27,0,289,0,0,14,0,122,0,25,0,2,0,0,2019 Q2
40,2019,2,Markafi,233,34,0,0,0,0,1,0,0,0,0,1,0,30,0,2,0,0,2019 Q2
41,2019,2,Sabon-Gari,250,457,0,0,0,0,0,0,0,0,0,0,0,44,1,0,0,0,2019 Q2
42,2019,2,Sanga,202,789,0,0,0,0,0,0,0,0,0,0,0,26,1,40,0,0,2019 Q2
43,2019,2,Soba,36,1827,0,0,0,0,0,0,0,0,0,1,0,9,0,1,0,0,2019 Q2
44,2019,2,Zango-Kataf,181,2833,0,147,0,0,0,0,21,0,0,3,0,34,0,9,0,0,2019 Q2
45,2019,2,Zaria,689,2998,0,456,0,0,3,0,46,0,0,3,0,101,0,8,0,0,2019 Q2
46,2019,3,Birnin-Gwari,124,3366,0,385,0,0,0,0,36,0,0,3,0,14,0,0,0,0,2019 Q3
47,2019,3,Chikun,476,4256,0,437,0,0,28,0,163,0,0,13,0,67,0,60,148,0,2019 Q3
48,2019,3,Giwa,211,341,0,87,0,0,21,0,2,0,0,3,0,32,2,30,0,0,2019 Q3
49,2019,3,Igabi,433,521,0,54,0,0,5,0,8,0,0,5,0,66,0,4,170,0,2019 Q3
50,2019,3,Ikara,354,1039,0,240,0,0,23,0,7,0,0,0,2,17,2,2,0,0,2019 Q3
51,2019,3,Jaba,243,604,0,155,0,0,50,0,48,0,0,0,14,12,0,3,141,0,2019 Q3
52,2019,3,Jema'a,606,5254,0,1203,0,0,0,0,8,0,0,0,0,65,0,44,363,0,2019 Q3
53,2019,3,Kachia,747,1243,0,3900,0,0,0,0,327,0,0,0,0,82,0,1,0,0,2019 Q3
54,2019,3,Kaduna North,1139,1034,0,7312,0,0,0,0,407,0,0,51,0,174,1,88,523,0,2019 Q3
55,2019,3,Kaduna South,2231,1604,0,1876,0,0,3549,0,170,0,0,303,0,185,9,188,1129,0,2019 Q3
56,2019,3,Kagarko,63,523,0,10,0,0,6,0,10,0,0,6,0,11,0,0,0,0,2019 Q3
57,2019,3,Kajuru,442,830,0,5,0,0,4,0,5,0,0,5,0,22,0,0,0,0,2019 Q3
58,2019,3,Kaura,272,1817,0,56,0,0,2,0,11,0,0,2,0,18,0,1,146,1,2019 Q3
59,2019,3,Kauru,193,1059,0,16,0,0,8,0,15,0,0,7,0,22,0,0,0,0,2019 Q3
60,2019,3,Kubau,340,707,0,15,0,0,24,0,0,0,0,5,0,17,0,0,0,0,2019 Q3
61,2019,3,Kudan,224,963,0,13,0,0,33,0,2,0,0,3,0,12,0,11,0,0,2019 Q3
62,2019,3,Lere,431,1257,0,40,0,0,123,0,3,0,0,4,0,26,1,1,0,0,2019 Q3
63,2019,3,Markafi,341,970,0,49,0,0,67,0,4,0,0,4,0,32,0,1,0,0,2019 Q3
64,2019,3,Sabon-Gari,897,617,0,0,0,0,5,0,0,0,0,4,1,62,0,1,0,0,2019 Q3
65,2019,3,Sanga,308,679,0,1,0,2,5,0,1,2,0,0,4,26,0,0,0,0,2019 Q3
66,2019,3,Soba,141,883,0,0,2,0,5,0,0,2,0,5,0,18,0,0,0,0,2019 Q3
67,2019,3,Zango-Kataf,191,963,0,0,5,0,6,0,0,5,0,6,0,27,0,1,0,0,2019 Q3
68,2019,3,Zaria,1608,977,0,57,0,0,152,0,6,0,0,23,0,117,4,14,0,0,2019 Q3
69,2019,4,Birnin-Gwari,56,1395,0,0,0,0,196,0,0,0,0,20,3,10,0,1,0,0,2019 Q4
70,2019,4,Chikun,516,1444,0,0,15,0,266,0,0,9,0,40,3,72,0,66,250,0,2019 Q4
71,2019,4,Giwa,242,1764,0,2,0,0,252,0,2,0,0,54,2,39,1,14,0,0,2019 Q4
72,2019,4,Igabi,521,2287,0,9,0,0,21,0,10,0,0,24,0,75,0,5,0,0,2019 Q4
73,2019,4,Ikara,360,2804,0,6,0,0,9,0,6,0,0,14,0,22,0,16,0,0,2019 Q4
74,2019,4,Jaba,192,4542,0,6,0,0,17,0,6,0,0,17,1,13,0,3,0,0,2019 Q4
75,2019,4,Jema'a,701,5556,0,4,0,0,37,0,4,0,0,37,0,52,1,49,89,0,2019 Q4
76,2019,4,Kachia,1030,75,0,118,2,0,14,0,4,2,0,14,0,79,0,0,0,0,2019 Q4
77,2019,4,Kaduna North,1127,170,0,20,3,0,11,0,3,3,0,15,0,174,1,58,2,0,2019 Q4
78,2019,4,Kaduna South,1538,243,42,24,6,0,8,0,2,6,0,6,0,147,2,148,620,0,2019 Q4
